NE_NAME;INTERFACE;SITE_ID;DESCRIPTION;IP_ADDR;SUBNET_MASK
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3497;A2974;eNodeB_A2974_S1_X2;10.23.87.53;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3715;V1980;eNodeB_V1980_S1_X2;10.26.29.221;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3747;Y7988;eNodeB_Y7988_S1_X2;10.23.89.233;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3779;V6439;eNodeB_V6439_S1_X2;10.23.89.169;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3789;V1097;eNodeB_V1097_S1_X2;10.23.89.149;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3815;V3752;eNodeB_V3752_S1_X2;10.23.89.97;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3925;D5726;eNodeB_D5726_S1_X2;10.23.88.133;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3943;03045;eNodeB_03045_S1_X2;10.23.88.97;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3953;02990;eNodeB_02990_S1_X2;10.23.88.77;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.3955;02973;eNodeB_02973_S1_X2;10.23.88.73;255.255.255.252
2973-ATN27200151_ISCEHISAR-POC3;Eth-Trunk1.4063;M9901;eNodeB_M9901_S1_X2;10.23.87.113;255.255.255.252
4544-ATN43800013_SUMBUL-POC3;Eth-Trunk1.3749;K3186;eNodeB_K3186_S1_X2;10.23.155.133;255.255.255.252
4544-ATN43800013_SUMBUL-POC3;Eth-Trunk1.3807;C6328;eNodeB_C6328_S1_X2;10.23.155.17;255.255.255.252
4544-ATN43800013_SUMBUL-POC3;Eth-Trunk1.3817;V6372;eNodeB_V6372_S1_X2;10.23.154.253;255.255.255.252
4544-ATN43800013_SUMBUL-POC3;Eth-Trunk1.3943;04544;eNodeB_4544_S1_X2;10.23.154.1;255.255.255.252
4544-ATN43800013_SUMBUL-POC3;GigabitEthernet0/2/2.3575;V9003;eNodeB_V9003_S1_X2;10.29.73.229;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3517;K5787;eNodeB_K5787_S1_X2;10.23.124.133;255.255.255.252
4495-ATN4540012_CALDAG-POC3;Eth-Trunk1.3583;B4503;eNodeB_B4503_S1_X2;10.26.10.21;255.255.255.252
